,Recall,Country,Training Size
0,0.68701171875,jp,4096
1,0.758056640625,au,4096
2,0.6970443349753694,th,4096
3,0.890625,cn,4096
4,0.95947265625,tw,4096
5,0.702392578125,us,4096
6,0.6246948029298919,gb,4096
7,0.613037109375,hk,4096
8,0.6583522297808012,sg,4096
9,0.7607421875,ca,4096
10,0.741455078125,my,4096
11,0.7243032664069523,fr,4096
12,0.6502827316224445,kr,4096
13,0.683349609375,jp,8192
14,0.7421875,au,8192
15,0.6970443349753694,th,8192
16,0.89013671875,cn,8192
17,0.960205078125,tw,8192
18,0.702392578125,us,8192
19,0.6246948029298919,gb,8192
20,0.635009765625,hk,8192
21,0.654824892920131,sg,8192
22,0.74853515625,ca,8192
23,0.73779296875,my,8192
24,0.7243032664069523,fr,8192
25,0.6502827316224445,kr,8192
26,0.69775390625,jp,16384
27,0.7421875,au,16384
28,0.6970443349753694,th,16384
29,0.889892578125,cn,16384
30,0.9638671875,tw,16384
31,0.698974609375,us,16384
32,0.6246948029298919,gb,16384
33,0.640380859375,hk,16384
34,0.654824892920131,sg,16384
35,0.749267578125,ca,16384
36,0.73779296875,my,16384
37,0.7243032664069523,fr,16384
38,0.6502827316224445,kr,16384
